3連単,予想確率,標準化値,min-max処理値,予想確率[%]
2-6-1,0.00035336131457687546,-0.33633639157884343,0.004593428049074377,0.0006639609862473774
3-5-4,0.0003494727850009935,-0.33666814834865877,0.004541092098912381,0.0006563960415667364
6-2-5,0.0003099550850227418,-0.34003967072992897,0.004009221031399806,0.0005795162831881859
4-3-2,0.00029717695307654164,-0.3411298596293626,0.0038372393957584986,0.0005546570505634691
4-3-1,0.00029617230580270215,-0.34121557288622967,0.0038237177885216238,0.0005527025582799871
3-6-4,0.00028927241984232164,-0.3418042488455198,0.003730851814199166,0.000539279166590552
6-2-3,0.00027530898459992805,-0.3429955639894947,0.003542917111202735,0.0005121139841998618
2-5-6,0.0002710674121820886,-0.3433574412330183,0.0034858295364944536,0.000503862211884974
6-2-1,0.00025752926486712513,-0.34451247218619757,0.0033036188089340226,0.0004775244064195645
3-5-2,0.00024828257303398003,-0.34530137003413186,0.003179167035198175,0.0004595354183376592
3-5-1,0.0002474432198891344,-0.3453729809303934,0.0031678701314458053,0.0004579024977221993
3-6-5,0.00024651389486387724,-0.34545226793656675,0.0031553622908194016,0.0004560945412005323
5-1-6,0.00024310734407656767,-0.34574290383462425,0.0031095133217554378,0.0004494672627512118
4-5-3,0.00021970079114208219,-0.34773987524567385,0.0027944831377390137,0.0004039309553479888
4-5-2,0.0002062094212808234,-0.3488909152977584,0.0026129019907020195,0.0003776841531378383
3-6-2,0.00020551328683866807,-0.34895030723740544,0.0026035326759624223,0.0003763298575249531
4-5-1,0.0002055123021711984,-0.34895039124605004,0.002603519423264552,0.0003763279419024041
3-6-1,0.00020481852110659237,-0.3490095824031343,0.0025941817827729464,0.00037497822467078674
4-6-5,0.00020474045752137741,-0.34901624253580543,0.002593131120350162,0.00037482635577222297
6-4-5,0.0001895675152874426,-0.3503107489053458,0.0023889175910275793,0.00034530813650646077
4-3-6,0.0001880599957238838,-0.3504393655999292,0.002368627795821697,0.0003423753307039687
4-6-3,0.00018185501767973707,-0.3509687542627979,0.0022851146283537314,0.0003303038484810467
4-6-2,0.0001706876782637565,-0.3519215155520667,0.002134812744900969,0.0003085783341797518
4-6-1,0.00017011064525742676,-0.3519707461423249,0.0021270464234491647,0.0003074557446027379
6-4-3,0.00016837807369118638,-0.3521185635460692,0.002103727639993009,0.00030408511110282746
6-4-2,0.00015803832545047573,-0.3530007174322883,0.0019645643552465637,0.00028396963507870785
6-4-1,0.00015750405530878987,-0.3530462996332091,0.0019573735817259687,0.00028293023856969365
3-5-6,0.00015711857578356366,-0.35307918749984957,0.0019521853899359784,0.0002821803069497967
6-1-4,0.00015075374849375344,-0.3536222139834841,0.0018665208019911454,0.0002697978458138727
4-5-6,0.00013049377646155488,-0.3553507292864511,0.0015938406369392568,0.00023038305812509354
6-1-5,0.00012847022791450874,-0.3555233719053208,0.0015666055770427276,0.0002264463430974031
6-1-3,0.00011411010726237856,-0.3567485309657682,0.0013733318615921522,0.0001985094285849143
6-1-2,0.00010710284227265419,-0.35734636815663073,0.0012790206665459004,0.00018487713622981875
5-3-4,8.813593239711233e-05,-0.35896456357752105,0.0010237439017425065,0.00014797793791559763
5-3-2,6.261608059764013e-05,-0.3611418348143585,0.0006802707029779494,9.833031061745984e-05
5-3-1,6.24043983860161e-05,-0.3611598948561777,0.0006774216595383856,9.791849319661756e-05
5-6-4,5.0622087334611735e-05,-0.3621651235368641,0.0005188428363749789,7.499658156533795e-05
5-3-6,3.9624808477007366e-05,-0.36310337580918484,0.00037082980806243054,5.360191178801031e-05
5-6-3,3.831740088265462e-05,-0.3632149195976196,0.0003532333317172733,5.105841406391652e-05
5-6-2,3.596440877578643e-05,-0.36341566927575436,0.00032156427141220113,4.648078265464245e-05
5-6-1,3.584282618044117e-05,-0.36342604230965064,0.00031992788405128396,4.624424964390851e-05
6-3-4,2.4571813878952625e-05,-0.3643876486342838,0.00016823066108437142,2.431704479906591e-05
6-3-5,2.0939754804390385e-05,-0.36469752417022644,0.00011934656260902627,1.725105097294197e-05
6-3-2,1.7457019361210276e-05,-0.36499465989677904,7.247221974373698e-05,1.0475558990476554e-05
6-3-1,1.739800352324223e-05,-0.3649996949372461,7.16779220807401e-05,1.036074655539255e-05
6-5-4,1.7050243860915664e-05,-0.36502936466715147,6.699740416241241e-05,9.684197089503428e-06
6-5-3,1.2905849275777148e-05,-0.36538295101221463,1.121775166733918e-05,1.621479509628014e-06
6-5-2,1.2113327842203587e-05,-0.3654505663783012,5.51158694235649e-07,7.966770488051087e-08
6-5-1,1.2072377083176662e-05,-0.3654540601646467,0.0,0.0
